engine_id,cycle,RUL,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14
1,1,332,489.4563284294065,536.4370974730442,523.5783710595932,544.637219804038,521.5002039544753,561.6233594672765,543.0867124773371,562.6527846708993,554.4340199802306,577.1569960967589,610.7468413319158,642.906053865714,632.3145852405282,639.1203203962198
1,2,331,500.9753694678317,535.1817571108028,520.1739078898805,533.56786901042,523.9326588389508,551.0829753601192,569.3608509787354,593.3949710749645,550.7414333930469,592.908615821705,596.8669935768332,596.7085964380782,620.4431582498759,612.6316146200363
1,2,331,482.33875242126066,533.6971043610232,518.9580092258113,513.1417584180169,554.2547348672797,559.7846891490871,580.3792780976572,572.595594524185,598.087905393763,598.4511476576413,619.0890416526831,581.9593590017025,625.1548992852079,622.615825124574
1,2,331,496.2962250876582,518.3306948422465,515.2038967859875,506.81294485511575,582.9311683968422,544.0330021988913,557.055176713462,568.080106210921,587.9190921955815,607.5476887504964,592.1689063103755,613.9577424404232,647.4617971943595,632.1724707700788
1,3,330,489.76887802964325,511.6663252695725,494.5512618993611,524.0787556949704,541.8598617609871,545.7901910877235,588.8746854584077,569.6296912615852,578.0299949154142,608.9774119577226,596.4967836826478,614.9062388334169,614.7078096467483,646.0378191987708
1,3,330,479.90723114652445,510.2888896354682,527.815430339971,548.5954179509637,536.9381762277959,547.524762840494,564.727933771328,552.6568920021936,550.2702510384389,564.5712451830736,591.0851453544135,622.4335757080357,597.2929301519054,634.1728643500275
1,6,327,493.1021110652729,501.42145725285116,557.2564898888127,532.9191139769154,545.9761623622517,517.9382694040031,562.1591298969151,562.0224336896073,551.5128290987774,567.4704709981986,606.1228344885335,636.1250299462703,609.9011475316418,649.7992188138284
1,7,326,502.4972790886572,510.5903363249129,525.5915083641461,522.8463510860402,523.8070094433007,574.1228725943504,549.7440851227063,564.7438822429204,590.7468512371046,592.63609647944,623.9416064824932,602.9932884269468,630.667083845455,634.1911001939428
1,7,326,496.619727724337,516.4047552579315,524.3417660927598,509.56099580375803,551.8557914423267,548.7695125068185,550.2303395013068,567.8085444107865,573.0460105095424,593.8210016163541,605.8098019903493,585.5577069429634,617.313956454725,619.2523144787701
1,8,325,512.1992060909689,490.3540203844855,504.6108499045086,537.2597024294929,527.7002841695316,555.6857054703466,548.7626221161454,601.1061692321947,558.0009154650793,581.4416563435163,593.4986873337582,602.3399849395122,640.098167382553,619.7670053074356
1,8,325,520.6721402074642,503.64845125231085,536.532929781568,538.7083858760974,524.9554101455517,571.3613364517072,579.2291603403584,585.5070273208006,593.6746557359842,596.5554243149203,597.7010156103876,599.714652470607,626.2810465851745,611.4519331427955
